Sentiment,Student Reviews & Comments,Challenges & Issues,Source,Language,Sentiment Target Class,
Negative,"Are we a joke to you? Stop this nonsense and arrange on campus classes for all the students. Otherwise, be ready for a bloody
 protest, we can't tolerate anymore delay.
DISCLAIMER?
Taking admission at UOP was one of the nefarious decision of my life.",,Facebook,English,1,
Negative,"I strongly disagree with the decision and policies of the university. Online classes is a worst experience. We demand face
 to face classes .",,Facebook,English,1,
Negative,"We refuse from online classes.We should record a protest to gain our rights and to we will protest from the great disaster of 
Online classes.",,Facebook,English,1,
Negative,"We reject online classes and
strongly demand from
competent authorities to reopen University .",,Facebook,English,1,
Negative,"We demand immediate reopening of all the departments at Peshawar university.
Moreover, what is the criteria on the basis of which few departments are allowed to resume their academic activities while the
 other departments are sidelined? Are the other departments of least importance??
We strongly reject online classes/exams.
#Say_No_To_Online_Classes
#Resume_face_to_face_Classes",#Online examination issue,Facebook,English,1,
Negative,"Really shameful.
We reject online classes and strongly demand from competent authorities to reopen University and its affiliated colleges as 
soon as possible.
Does it make sense? that everything r open in country including Bazars,Cinemas, Marriage halls with govt provided SOPs . Then
 y just educational institutions r still closed. ?",,Facebook,English,1,
Negative,"We are strong condemn kpk govt HEC for such a worse decision incompetent representatives g impotent policies and hope you 
people?s shoud see the power of students now upcoming days and now are ready to fight against yours such worse desicion 
and bot led you more to fighting with students.
#saynotoonlineclasse
#Bycottonline classe.
#Save education.",,Facebook,English,1,
Negative,"Well, commenting here won't do the work. If you are really concerned about your career since its university, not school college.
 They are destroying our career. Bycott online classes and do not submit the fee. I said to my chsirman, we are not gonna submit
 our fee, and i was shocked to hear his reply ""salaries nhi hai"" seriously? maltb education gae bhaar mai?",#Semester Fee Issue,Facebook,English,1,
Negative,"?this decision is completely worst tyranny?.
Being regular in online classes,last semester gone dull. It was a worst experience in my life,we?re facing the worst decision
 makers.Have you?ll ever heard that there is corona without education institutes?
(Serf taleeem ko corona hogia ha.)
Administration are just making us stupid.
For god sake learn some manners from ICUP and quaid-e-Azam uni.
#Boycottonlineclasses.",,Facebook,Mix(Roman Urdu+English),1,
Neutral,"Sir many of our students are from tribe area having no facility of internet , many areas Don't have Network to communicate with
 someone easily then internet is far away .
About 50% students having no leptops
Provide net facility to kp-merged areas and then we can take online classes else we can't","#Poor internet connectivity in backward area
#Laptop availability issue",Facebook,English,2,
Negative,If university provides us laptops and internet then we had no issue,"#Inernet issue
#Laptop availability issue",Facebook,English,1,
Negative,"What is the need of Online classes ? What's the need of face to face classes in uni? Even though if a lot of materials and 
lectures are available on Google ? Don't play with the future of students by starting online classes ....",,Facebook,English,1,
Negative,"sir 70./' student have no laptop etc to take the online class so please sir give the resource of internet etc then take classses 
online","#Proper resources issue
#Laptop availability issue",Facebook,English,1,
Negative,We have poor internet connectivity in our area. How can we take online classes?,#Poor internet connectivity,Facebook,English,1,
Negative,"What kind of support you will provide ? As promised in previous semester but I got nothing. Instead of support some teachers
 deducted my marks of being absent in online classes as I had internet and powercut issues at my village. This is totally rubbish
 decision.
You are going totally against those priorities mentioned in the first notice. Instead of calling those far areas and internet
 problems facing students, you called the near ones who didn't face any issue in previous semester.
As the kicking out of seniors from the hostel and giving rooms to new comers is also injustice. We also spent our frst 2 
semesters in outside hostels so why can't they.",#poor internet connectivity issue,Facebook,English,1,
Neutral,"The institute should have called students from the remote areas, as they are facing connectivity issues, instead of calling local 
students who can attend the classes from home without connectivity issues. The students from remote areas will suffer.","#Poor internet connectivity in
 backward area",Facebook,English,2,
Negative,"IMSciences Peshawar As per the directions of HEC the institute has to make sure that students from far areas like Chitral, GB, 
Balochistan and Ex-FATA where internet connectivity is a major problem must be brought to the campus and provide them 
facilities of internet and accommodation. But this decision of IM Sciences, is not according to directions of HEC. Students
 having problems of internet connectivity already have suffered with their grades in the previous semester but the institute has
 to take these concerns seriously.",#Internet issue ,Facebook,English,1,
Negative,"What about those students who live in chitral, gilgit and Balochistan without any proper internet connection. More than twenty 
students from these areas are not allowed to live in internal hostel. Now tell me how they can manage to take online classes? 
Although initially management claimed that students from far flung areas are first priority and they must be provided with proper 
accomodation in hostel. But what they claim and deliver is totally different. Institute must reconsider this issue.","#Poor internet connectivity in 
backward area",Facebook,English,1,
Neutral,"What the heck is this .
We are facing internet issues and electricity as well.
How can the backward area students can take online classes .","#Internet issue in backward area
#Loadshedding/Electricity issue",Facebook,English,2,
Neutral,"We should provide the hostels,so that we can take.our classes at the hostels online .",,Facebook,English,2,
Negative,Those students have been given the hostel who do not have internet and other issues . But why we ???,#Internet issue,Facebook,English,1,
Negative,"Masla tu tribe area ka hay wo online classes nahe lay sakty internat ki waja say un k liye per say online classes... or list may 
bohot say students asy hay k Peshawar resident ka hay un k liye face to face classes..","#Poor internet connectivity
 issue in backward area",Facebook,Mix(Roman Urdu+English),1,
Neutral,we don't Want online classes,,Facebook,English,2,
Negative,"It cost me more than 70 thousands to attend online classes during last semester, because I had to stay at Bannu, having no 
internet facility at our village.
Ab is ka sela ye mela hai k is bar online classes aur hostel se b nikal diya. If I have to stay at private hostel between 5
 roommates, why not at internal hostel ?",#Internet issue in rural area,Facebook,Mix(Roman Urdu+English),1,
Negative,"Not a pragmatic solution for Pakistan due to access to internet facilities, persistent load shedding etc","#Loadshedding Issue
#Internet Issue",Facebook,English,1,
Negative,"Govt announced lockdown due to which universities started online education system,which is completely flop and fail.Online lectures, assignments and quizzes are not going effective.It will affect our grades .We have paid heavy fees for quality and good education. We know that situation is not fruitful for opening educational institutions but our grades and our understanding of lectures is also important.
So raise your voice
#Wewantsemesterbreak
#SayNoToOnlineClasses","#Online classes effect on students
 Grade
#Quality and good education issue
#Online classes understandibility issue",Facebook,English,1,
Negative,"Dear sir net package is unavailable now due to lock down please make lecture vedio and upload it if anyone found net then they
 will see it otherwise due to lockdown the current package is finished or not enough data to see online lecture","#Highly expensive data package issue
",Facebook,English,1,
Negative,"Is it possible for those students who belongs from rural areas??
In the previous survey we have clearly mentioned that we have face connection issue. But the decision which have been taken is
 completely wrong!
Keep in mind! We are not living in New York! We are living in Pakistan and everyone knows our educational standards.
Ist of all facilitate the students than go for decision..
Sorry to say I'm not going to criticize anyone but this software is useless.
Stayblessed","#Internet issue in rural area
#Proper resources issue",Facebook,English,1,
Negative,"It's commendable but there are serious concerns over net availability and net speed/quality in many parts of KP. Not to forget
 most students belongs to backward areas. If online exam happens, students may get failed due to these issues.","#High speed internet issue in backward area 
#Examiantion issue due to poor internet connectivity ",Facebook,English,1,
Negative,Online classes is Wasted of time not even more,,Facebook,English,1,
Negative,"I can, t belive without cocerning student issue and ground reality the AWKUM Acedmic committe approve the LMS system for 
online classes.If the uni only intrested to collect the fee this is totaly injustice with student..shamefull",#Semester Fee Issue,Facebook,English,1,
Positive,"Does the students of the university have enough resources to get education on your ""lEaRnInG mAnAgEmEnT sYsTeM"" ?
No, majority of the students are poor. They don't have access to internet, majority of them do not have Pcs. Who are you joking?
 Did you ask the students opinion on LMS? No. hawai ye approve ku","#Proper resources issue
#Internet availability issue to poor students",Facebook,English,3,
Negative,Good it can saves student time,,Facebook,English,1,
Negative,Many of students have no mobile so how they will attend live classes....?,"#Laptop/Smartphone availability
 issue",Facebook,English,1,
Neutral,"Sir it's too difficult for students to take online classes and exams because there is problems of networks in some places. So 
many students will deprive of it.","#Examination issue due to poor
 internet connectivity ",Facebook,English,2,
Negative,"Sir provide internet facilities so fedral govt days all universities exams postpont and cancelled due to covid 19 ?what strategy 
about MA private exams?",#Internet issue,Facebook,English,1,
Negative,"Sir what about remote areas the haven,t internet",#Internet issue in backward area,Facebook,English,1,
Negative,How can they think all students are equal many of them can't even afford internet this is a strange decision,#Internet issue to poor students,Facebook,English,1,
Neutral,"i think this is not possible because of internet issue. but possible, if our dear teachers record a video lecture and upload on 
university page. Only one lecture for every week. Also, we have possibility to send that lecture in a whatsapp group. because 
nowadays everyone using the mentioned app.",#Internet issue,Facebook,English,2,
Negative,"My request to Faculty and students of Hazara University to learn about online teaching issues of Google Classroom and ZOOM 
Attractive Sessions before going to start classes so that they become friendly in short time. Several Universities have done this task in May 2020.","#Untrained Teacher and Studetns
 for online classes",Facebook,English,1,
Negative,"We had not paid for this online system....
We want face to face classes. If you can't arrange then promote us like this...
Because this is better not to study in this semester. As everyone knows that we hardly are able to understand Respected 
Teachers in our class rooms and you are talking about online classes ..
This is something which is not going to happen...
Don't play with our future....
....
This is good to promote us rather to take online classes
And
Add this course to next semester course...
#say_no_to_online_classes",,Facebook,English,1,
Negative,"Sir you speaks are good.. But as You know about Inter net facility... Even 4G is not working well.. And as You know Students cant take online clases on mobiles.. Need proper internet connections and Laptops.. As we know most of students are from those areas where even no internet is available..
 So how can we will take online clases in this situation where net is not avaliable or not working","#Poor internet connectivity in backward area
#Laptop availability issue
",Facebook,English,1,
Negative,"Glade to heard! We'are partially ready for online classes and we all are preparing for this beneficial step taken by VC inshallah. 
Furthermore, Poor internet connections in remote areas. What about improvement papers???","#Poor internet connectivity in backward area

",Facebook,English,1,
Negative,"Provide us notes for self study it would be better bcz online classes is not possible for everyone so provide notes to those 
students who feel comfort in self study
Inshallah we will give better result in exam",,Facebook,English,1,
Neutral,"This is not a real time online system.Whenever you will get net and will get signal you can get to your 
lectueres, assigaments",,Facebook,English,2,
Negative,"We are ready because we know that this is reality and we need to be realistic . But i have concerned about students from tribal
 areas , gilgit Balochistan chitral. Have u decided for those students who don't have internet access . I believe we,ll go through this crisis","#Poor internet connectivity in 
backward area",Facebook,English,1,
Neutral,Unfair decision about those students who have not access intranet.,#Internet issue,Facebook,English,2,
Negative,"In meeting of chairman HEC with university officials it is decided to start online classes from 1st june, for this
1. All students should have laptop
2. Internet facility and packages
3. Basic skills and information about use of different software to attend online classes.
I think without providing all these facilities online classes will negatively effect the educational quality and universities ranking
 among HEC st…nding.
It will leads towards discrimination between those who have and have not.
Students from poor families and rural area's
Those who cant afford all these feels burden even at this point of time when poor and lower and middle class families are under 
huge financial crisis.
HEC should ensure to provide laptop and internet facility to poor and needy students.
Otherwise it may not works according to its spirit.","#Laptop Availability issue
#Internet data package issue
#Internet issue
#Proper training issue to take online classess
",Facebook,English,1,
Negative,"Its very poor policy. How students will approach to that policy. How u people are making such stupid policies. We are strongly 
reject this meaningless policy. U should have to think about poor students that have no facilities of Internet which is required 
for online classes. U have to think for another way.",#Internet issue,Facebook,English,1,
Negative,"We are not agree to attaind online class because 80% Students have any no facilities of net laptop pkges and other resource 
and they are belong to poor family as well as i als0 belong poor family so we cann't ready and most of the area are backward 
where are not present net we cancell this application","#Laptop Availability issue
#Internet data package issue
#Internet issue

",Facebook,English,1,
Negative,I think it is very poor policy.Remote area students don''t have any resource like internet and 4G supported Mobile.,#Internet issue in backward area,Facebook,English,1,
Negative,"Most of the Pakistan is still offline & the majority of those offline are women. These young women from GB are walking several 
miles & climbing up mountains to be able to attend online classes. To be offline today means to miss out on learning & earning ",#Poor internet connectivity issue,Facebook,English,1,
Neutral,Wonder now they can't study from books.... It's 100 times better than online study.,,Facebook,English,2,
Neutral,"These young people attend universities in isb for higher education now. Due to covid-19 their classes have shifted online. 
So yes, in the absence of higher education in GB they can either go to another city or forgo it entirely.",,Facebook,English,2,
Negative,"Govt should give subsidy to phone companies to install boosters and towers in valleys though subscribers are in less number
 there.",,Facebook,English,1,
Neutral,"Thank you, 
@nighatdad
, for sharing. I think your organization can play a role of a legal advocate for the people of Gilgit-Baltistan and AJK who 
are facing internet issues due to certain clauses of the law that give one company the powers to maintain a monopoly.","#Poor internet connectivity issue
 in backward area",Facebook,English,2,
Negative,"Take step for Overseas students who stuck in Pakistan and Already waste more than 10 months!!
Our Degree just A piece of paper with online classes No lab No Experimental work!!
#PakistaniStudentsWantsBackToChina
#TakeUsBackToSchool
#takeUsBackToChina
@adilshahzeb

@mophrd",#Lab/Practical Classes issue,Facebook,English,1,
Positive,"This is d real situation of Pakistan gifted School &  educational development in Balochistan. They r required 2 take online 
classes. Isn't asking them 2 take online classes a serious criminal joke? And when students speak out against this ridiculous 
joke, they r brutally tortured",,Facebook,English,3,
Negative,"Still Thanks to #NawazSharif and 
@CMShehbaz
 laptop scheme initiative who has enabled all youngsters around the country to pursue freelancing career along with these 
online classes.",,Facebook,English,1,
Negative,"Just not only fooling the students but the whole Nation is fooling and will be ruined: Most of the Madrassa(Religious Seminary) 
r opened with SOPs: why not Schools/colleges/Universities???",,Facebook,English,1,
Negative,"It is a highly condemnable act by security forces of #Pakistan.
Students were tortured & arrested for protesting against online classes due to non-availability of internet.
Instead of listening them & solving their problem occupier used forces to suppress.
#SayNoToOnlineClasses",#Internet issue,Twitter,English,1,
Negative,I had started bussines Nd quite my studies due to lack resources nd waste money on online classes,#Proper resources issue,Twitter,English,1,
Negative,"Baluchistan daughters, sisters, Brother and Sons of Pakistan were arrested, beaten, jailed and FIR was launched for pritesting
 against No Internet for Online classes.",#Internet issue in backward area,Twitter,English,1,
Negative,"Justice
Stop playing with future of Pakistan 
Stop online classes 
Let start physical classes 
For sake of our good future
@SaeedGhani1
 
@MuradAliShahPPP

#JusticeForQuestStudents",,Twitter,English,1,
Negative,"There's been another round of crackdowns on student protestors and faculty around #Pakistan. Absolutely unacceptable. Here, Dr 
@MahrangBaloch5
 and other student protestors are arrested for protesting online classes and the importance of ensuring equal education for all.",,Twitter,English,1,
Negative,"How one can get benefit from the online classes many peoples are homeless, hungry, and having no clothes, While docoity
 increases. Even people cannot eat food. You are recommending online classes, most of the areas lake 4G service.  How you
 can say that pakistan is getting succes",#Poor internet connectivity issue,Twitter,English,1,
Negative,"Countrywide #StudentsSolidarityProtest today to demand internet access for all students before shifting classes online & an
 end to exorbitant fees. The cost of Pakistan's huge digital divide cannot be passed on to students in Balochistan, GB & ex-FATA. 
#InternetforAll Now!","#Poor internet connectivity issue
 in backward area",Twitter,English,1,
Negative,"Spoke at today's protest by 
@ProgStudentsFed
, BSA & RSF in Islamabad, called on 
@hecpkofficial
 to reduce fees & engage military & civilian leadership to remove barriers to internet access for students in Balochistan, 
ex-FATA & GB. Online classes without #InternetforAll will fail.","#Semester Fee relaxation issue
#Poor internet connectivity issue in backward area
",Twitter,English,1,
Negative,"Students of Sindh Madressatul University are protesting against the worst online system of the University which doesn't provides
 the recorded lectures. This kind of facilities are being given despite charging huge fee structure. ",#Semester Fee relaxation issue,Twitter,English,1,
Negative,the only thing that should be banned in pakistan is online classes. ,,Twitter,English,1,
Negative,HEC must inquire that  in Balochistan maximum areas don't have 3g and 4g,"#Poor internet connectivity in 
backward area",Twitter,English,1,
Negative,"What a system we have. Little kids who can't even be trusted to follow the required SOP's can go to school, but university 
students have still to deal with online classes. 
#BoycottOnlineClasses",,Twitter,English,1,
Neutral,"Students have to travel to find a stable internet connection so that they are able to take online exams/classes. Why is no 
one talking about this? Why is GB being denied of a basic facility? We are as much part of Pakistan as any other province!
  #Internet4GilgitBaltistan","#Poor internet connectivity 
issue in backward area",Twitter,English,2,
Neutral,"COVID-19 brought challenges with itself especially to the developing states.
Lockdown,health &education.
Online classes introduced for the first time all over Pakistan.
The complaints are genuine from students;
Internet access #remoteareas
Grades&Assessments #onlineclassesfailed","#Poor internet connectivity 
issue in backward area",Twitter,English,2,
Negative,"Strongly condemn the insulting arrest of female & male students who?re protesting against #OnlineClasses because in the most
 areas of occupied #Balochistan internet has been banned or limited by #PakArmy since 2017. This fact has even been admitted 
before parliament of Pakistan.","#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Negative,"Students are paying full fee for online classes?
Education is just a business in Pakistan
#SayNoToExtraFeeUAF
#WeWantClassesInCampus",#Semester Fee Issue,Twitter,English,1,
Negative,"Pakistan in 21st Century? ?Risking our lives?: Students in Gilgit, KP climb mountains, trek miles to attend online classes
 #internet4gilgitbaltistan ","#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Negative,"A student from GB has to climb to mountain in search of stable signals in order to take his online classes. 
What a shame of govt of Pakistan ","#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Negative,"Today I want to draw your attention towards the issue of online classes which all students are facing in Pakistan. With no
 common standards for that learning, however, the results have varied wildly. 
#NoOnlineClassesUCP",,Twitter,English,1,
Negative,"Countrywide #StudentsSolidarityProtest today to demand internet access for all students before shifting classes online & an 
end to exorbitant fees. The cost of Pakistan's huge digital divide cannot be passed on to students in Balochistan, GB & ex-FATA.
 #InternetforAll Now!","#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Negative,"Baloch & Pashtun students humiliated & arrested only for demanding access to internet for online classes in PM Khan's
 ""digital Pakistan"".","#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Negative,"Pakistan: Students in Gilgit-Baltistan climb mountains for internet connection for online classes, youngsters start 
 #Internet4GilgitBaltistan campaign","#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Negative,"We want immediate amendment in section 39,Pakistan telecommunications Act.through which GB made monopoly of 
@hq_sco
.Bcz #SCO completely failed to provide 3/4G tech to people of GB in this era of #COVID?19 situation & online Classes. 
#Internet4GilgitBaltistan  ","#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Negative, Students from Balochistan climbing a mountain to get signals for attending a class,"#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Negative,"Students are paying full fee for online classes?
Is the Education just a business in Pakistan?
#SayNoToExtraFeeUAF
#WeWantClassesInCampus",#Semester Fee Issue,Twitter,English,1,
Negative,Online classes are as useless as justice in pakistan.,,Twitter,English,1,
Negative,"Teaching online is challenging - to say the least. But that doesn't mean we forget that learning online is challenging as well. 
Teaching is about learning and empathy first, and then about skills and textbooks. I learn as I teach.",,Twitter,English,1,
Negative,"I swear online classes shouldnt be a thing, especially in pakistan.
My teacher asked me to turn on my camera, I was turning it on and she kicked me after 15 seconds of asking and now she isnt
 letting me back in. Ive been trying for 20 mins",#Technical issue,Twitter,English,1,
Negative,"Students from various parts of Pakistan on July 19 protested in #Islamabad demanding high-speed internet services to attend
 online classes, as the educational institutions are closed due to #COVID19 pandemic.",#Poor internet connectivity,Twitter,English,1,
Negative,"Private sector try to open the educational institute for fesses

Government sector not want to open institute because they already have their pay properly 
Universities try to continue online classes bcz they earn more profit with this

That's how corona goes in pakistanSmiling face with smiling eyes",,Twitter,English,1,
Negative,"Online classes is injustice with student future.Dont destroy our education further.The whole cities in pakistan are open, 
But the kp government has only problem with online classes.There is no sop's in peshawar city.#Shafqatmehmood
 #ReOpenPeshawarUniversity",,Twitter,English,1,
Negative,"If some say online classes in Pakistan, Then you should know that it's because the universities are keep earning. 
No They have got nothing to do with student's future. #OnlineClasses",,Twitter,English,1,
Negative,Internet and Online education in Pakistan; a thread.,#Inernet issue,Twitter,English,1,
Negative,"I was supposed to attend an important webinar today.Thank you 
@Zongers
 and 
@jazzpk
 for ruining it. Neither zong device nor jazz mobile data worked properly. If this is happening in Johar town Lahore, how do you 
expect students can take uninterrupted online classes in Pakistan?",#Poor internet connectivity,Twitter,English,1,
Negative,"I am facing same problem. To take online class i have to move out from home some 400 yards. Zong called me that your problem
 will be solved in the month of August..","Poor internet connectivity in 
backward area",Twitter,English,1,
Negative,"?Risking our lives?: Students in Gilgit, KP climb mountains, trek miles to attend online classes - Pakistan - ","Poor internet connectivity in 
backward area",Twitter,English,1,
Positive,"Pakistan: 
@mmfd_Pak
 said the unavailability of quality internet access in the Khyber Pakhtunkhwa, Gilgit Baltistan, Balochistan, & rural Sindh & Punjab regions has made it difficult for students to participate in online classes","Poor internet connectivity in 
backward area",Twitter,English,3,
Negative,"Its the age of science & technology. 

It would be inappropriate to #SayNoToOnlineClasses  bec attending classes online is the need of the time. 

Yes, there r so many problems related to online classes for students in Pakistan. Their problems mst b solvd. ",,Twitter,English,1,
Negative,"In #Pakistan's remote regions, ?security? is often used as a pretext to curtail rights including to the internet. Today, students 
are protesting in #Balochistan, #KhyberPakhtunkhwa & #GilgitBaltistan for access to internet so they can attend online classes","Poor internet connectivity in 
backward area",Twitter,English,1,
Negative,"?Youth is an asset to the country? yet the same youth is arrested and beaten by Police for peacefully protesting against lack 
of internet and online classes. 
Save our future. Why double statndards for same Youth? ",#Internet issue,Twitter,English,1,
Negative,"we need Qualaity of Education for the sake of our future for the sake of pakistan , don't play with students career stop online 
classes  #StopOnlineEdu",#Quality and good education issue,Twitter,English,1,
Neutral,"Schools are not cooperating. We have to prepare for caies and take online classes for school and tuitions at the same time. 
We can't do all these things at the same time we're not robots. Hundreds of cases are being reported in Pakistan daily. ",,Twitter,English,2,
Negative,"All universities of Pakistan are conducting physical classes but QUEST administration is forcing students to take online classes.
 Students of Quest want to take physical classes like other universities.",,Twitter,English,1,
Neutral,"There are many poor people who can't afford online classes
The online class process in Pakistan is good. 
But the current situation in the country must also be looked at
Coronavirus has made people unemployed",,Twitter,English,2,
Neutral,"If you cannot give us internet with the speed of the horses of Chitral, at least give us internet with the Giligiti horse speed","Poor internet connectivity in 
backward area",Twitter,English,2,
Negative,"Gilgit city has enough Internet speed, because I?m able to video chat with  my  family and friends. However internet connection
 is not great outside Gilgit. Obviously all students can?t come to Gilgit for online classes. 
#PTIGovernment 
#Internet4GilgitBaltistan 
#Pakistan","Poor internet connectivity in 
backward area",Twitter,English,1,
Neutral,"Online classes are the only way for the universities to earn money from the students in lockdown they are playing with our future.
 Taking online classes in pakistan is same like traveling to europe with a cycle.  #cancelfinalyearexam
 #OnlineClasses",,Twitter,English,2,
Negative,"Its a humble request to open the universities across Pakistan after the conductance of enterance test and special exams.
We students are going through immense pressure .If universities open we have to take exams , enterance test and universities 
simultaneously.Plz show leniency.",,Twitter,English,1,
Negative,"If you've courage, answer me? Online education is not successful.
Internet connectivity issues still not sorted",#Poor internet connectivity,Twitter,English,1,
Negative,"Who the hell said you that the first experience of online edu was successful?
Who the hell said u that connectivity problems were sorted out?
Neither online edu was successful nor any problem sorted. 
Open unis for all semester students. Enough is enough. 1/2",,Twitter,English,1,
Negative,while staying home our mental health is getting disturb  so please open universities full fledg,#Mental Health Issue,Twitter,English,1,
Neutral,"You are hell bent on destroying education.  Online education is detrimental for teachers and students.  Transport is running, 
markets are open, congregations are taking place, but schools will remain closed.",,Twitter,English,2,
Neutral,"Why our campus is open for exme why not for classes?classes is taken online and cover only 30% course and now taking exme 
in 100% course All the universities of KP taken online exme and our institute take exme in uni who is responsble for it if any
 one is affected by covid19",,Twitter,English,2,
Negative,"Sir we want online exam just because classes was online.
Morever sir  who is responsible if anyone is get affected from COVID19?",,Twitter,English,1,
Negative,"Online system is badly failed. Please open the universities too. We can?t waste our last semester again. 
There is zero learning in online system.",,Twitter,English,1,
Negative,"Sir Its a humble request please don't give another date of reopening of universities.I am a govt uni studnets but Stil I'm too
 much disappointed with the criteria of online classes.We have just avail or pass our time during online session.kindly ensure 
the opening of universities",,Twitter,English,1,
Neutral,Please open universities please online classes are not good.,,Twitter,English,2,
Negative,"Sir kindly don't open educational institutions across Pakistan until the complete wipe out of COVID-19 as Hong Kong opened it 
recently but it has to close it again after 1 week due to spike in COVID-19 cases again. So Sir, health comes first & continue 
with online classes",,Twitter,English,1,
Negative,"Dear 
@ImranKhanPTI
 and 
@Shafqat_Mahmood
 most of the students in NAYA pakistan are deprived of interent facility they cannot afford online classes at all. Its your moral responsibility to force Uni Administration to reopen educational activities. 
#ReOpenPeshawarUniversity",#Internet issue,Twitter,English,1,
Negative,"Plz highlight our issue of online classes here in Pakistan which are difficult to to take due to time difrnce and othr technological 
glitches.We're suffering from mental & financial problems since last 10 months.We want to go back to China","#Mental Health Issue
#Financial issue",Twitter,English,1,
Negative,"Senator Afridi told Mashaal Radio that at the time of the coronavirus outbreak and closure of educational institutions, students 
across Pakistan were getting education via online classes but tribal students were deprived of this facility. ",,Twitter,English,1,
Negative,"Open universities and promote education we paying such huge fees for online classes do you have any idea we r in Pakistan 
and almost 40 50 percent of our time wasted in internet issues etc","#Internet issue
#Semester Fee relaxation Issue
",Twitter,English,1,
Negative,"We are tired of this stupid drama of online classes of all over Pakistan especially Universities students have faced this 
non sense work and we all have huge loss. But pakistani government and education sector ignore this....",,Twitter,English,1,
Negative,"Like many other villages in the Federally Administered Tribal Area (FATA) in Pakistan, his area also lacks an internet connection
 needed for online classes. So, Afridi and his friends climb a mountain to get access....!!!!","#Poor internet connectivity in
 backward area",Twitter,English,1,
Negative,"Poor online education system, connectivity issues, semester fee, frequent unscheduled classes and complete negligence
 towards research students, address these issues HEC no student will be able to complain anymore.","#Internet issue
#Semester Fee Issue",Twitter,English,1,
Negative,"#NoOnlineClassesUCP
In response to the protest, the HEC released a statement saying that the commission has assured students their problems 
with internet connectivity and the quality of lectures delivered in online classes will be solved as well as issues with
 subsequent exmntins","#Internet issue
#Quality and good education issue",Twitter,English,1,
Negative,Please solve our issues. We will not pay full fee. We will pay only tution fee as per HEC policy regarding online classes.,#Semester Fee Issue,Twitter,English,1,
Negative,"I'm not saying #HEC should give undue discounts. But the universities did not have any mechanism in place for students till June.
 After june classes commenced with so many issues. For engineering students, no labs took place. A formality was fulfilled in
 the name of online exam.","#Lab/Practical Classes issue
#Examination Issue",Twitter,English,1,
Negative,"Online study medium was too poor as we had internet issues during classes, No Labs, No question answer discussions, 
and they expect the same exams as if they provided upto the mark online system for classe. #SayNoToCampusExams","#Internet issue
#Lab/Practical Classes issues
#Examination issue",Twitter,English,1,
Negative,"Online study medium was too poor as we had internet issues during classes, No Labs, No question answer discussions, 
and they expect the same exams as if they provided upto the mark online system for classe. #SayNoToCampusExams","#Internet issue
#Lab/Practical Classes issues
#Examination issue",Twitter,English,1,
Negative,"I mourn over the reticence of GBians on such leading issues. I stand with HEC for the online classes but bestow high quality
 internet. SCO has failed to provide internet for GB. SCO! GB is not your personal fiefdom. Better leave if you can't deliver.","#Poor internet connectivity 
issue in backward area",Twitter,English,1,
Neutral,"Distance learning is giving good results at abroad.....
Unfortunately, in Pakistan due to connectivity issues and financial problems of students , it is not giving such fruitful results .
 
@Sultanbhutto786

#OnlineClasses
#HEC","#Poor internet connectivity 
#Financial issue",Twitter,English,2,
Negative,"Despite taking the concerns of Million of students in reference to the issues they face during their Online Classes PTA and 
COURTS decides to Ban PUBG and give it more importance , Believe it or not , we live in an absolute Joke of a Country.",,Twitter,English,1,
Negative,"Shafqat_Mahmood
 
@edutv_hec
 Mostly students are facing issues regarding online classes but it is need of the hour to continue online education. 
If we reopen universities this pandemic won't stop at any cost and eventually you will end up closing educational institutions 
again.",,Twitter,English,1,
Negative,"Police in Quetta have arrested student leader Dr Mahrang Baloch (
@MahrangBaloch5
) along with dozens of others. They were protesting against the HEC?s decision of going ahead with online classes despite
 internet access issues in #Balochistan","#Poor Internet connectivity in 
backward area",Twitter,English,1,
Negative,"HEC should listen to online class demand issues ,,of students and portable online or digital classes can be made and the
 facility can be made available to the students of rural areas","#Poor Internet connectivity in 
backward area",Twitter,English,1,
Negative,"Dear HEC!
3 months have gone. Where are your policies regarding the issues we are facing in online classes.Astonished face Students
 of backward areas are facing real issues. Frowning face
Seriously now I believe that your ego is important than our future","#Poor Internet connectivity in 
backward area",Twitter,English,1,
Negative,"The HEC is completely fail in proper planing regarding online classes. The HEC prefer elites & makes planings for DHA, 
Model twon's students. Here's the signals availability is possible but the internet is intentionally banned by state in the name 
of so called security issues.2/2",,Twitter,English,1,
Negative,"We are not against the online classes. But how can we attend the #Online_Classes without Internet and electricity. #Hec 
and gov,t of #Balochistan should immediately resolve these issues regarding Internet and electricity before starting the #online_classes 
#SayNoToOnlineClasses","#Poor Internet connectivity in 
backward area
#Loadshedding issue",Twitter,English,1,
Negative,"Instead of students Issues
HEC is focusing on this shit!
Kindly 
Provide Laptops to all university students for online classes",#Laptop availability issue,Twitter,English,1,
Negative,"Online classes are the education of elite class...HEC is neglecting basic issues of remote areas...it is injustice with the Hopes 
of students.",,Twitter,English,1,
